书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
道家文化与中医学,江幼，李原撰,北京中国中医药出版社,道家文化研究中医学医学史研究,本书以充足的史料和严密的逻辑证明了道家思想是中医理论的基石回顾了中华文明发展史概括了阴阳五行、藏象经络等中医基础理论和道家学说。本书还理论联系实际从古为今用洋为中用的原则出发介绍了许多道、医共用的治疗保健技术和方法。,R-092,2017.07
古典艺术与中医学,刘懿，蔡艺芳，张煜编著,北京中国中医药出版社,中国医药学研究艺术史研究中国古代,本书从中国古典艺术的源流、传世作品及其与中医的渊源讲起通过阐述中医与古典艺术特殊的中医文化现象尝试在继承传统文化挖掘其艺术价值开拓新时代的中医文化对外提升国家文化软实力、增进国际交流起到一定的作用。,R-092,2017.07
甲骨文化与中医学,李良松，刘学春著,北京中国中医药出版社,中国医药学,本书共章分别从甲骨文化概述、甲骨文中的医学基础知识、甲骨医学的历史背景、甲骨文中的诊疗方法、甲骨文中的临床各科史料等方面对甲骨医学进行了较为全面的整理、考证和研究。作者通过对万多条甲骨拓片的考释分析建立了甲骨医学的思想体系和学术框架并从文化、理论、临床等视角进行综合论述。,R-092,2017.07
中国中医文化传播史,王明强，张稚鲲，高雨著,北京中国中医药出版社,中国医药学文化传播医学史中国古代,本书共分为十章主要内容包括中国原始社会卫生文明及其传播、夏商时期中医文明及其传播、两周时期中医文明及其传播、秦汉时期中医文化传播等。,R-092,2015.12
第三次医学革命与理论思维,何兆雄著,成都电子科技大学出版社,医学伦理学研究,本书共分为医学历史学、医学哲学、医学伦理学、生命伦理学共四篇，主要内容包括台湾名医杜聪明、医务界牟利动机之史的分析等。,R-052,2014.03
民国医史研究以金陵医派研究为中心,徐建云,南京东南大学出版社,中国医药学医学史研究中国民国,本书作者对民国医史有较深入的研究，以金陵医派研究为中心，探讨医派形成的历史条件和传承因素，希望为研究医派的后来者提供一种视角。,R-092,2017.07
五华史话丛书五华医药史话,张一兵主编,昆明云南大学出版社,医学史史料昆明,null,R-092,2017.02
扶桑汉方的春晖秋色日本传统医学与文化,廖育群著,上海上海交通大学出版社,中国医药学医学史日本,本书并非依时间顺序、全面述说日本汉方医学的通史性著作，亦不纠缠诸如某位着名医家生卒之年、著作撰写或出版年份的考证，而仅是就这方面的风云人物、有趣之事、垂世之说，略作介绍。,R-093.13,2013.01
远程医疗服务的价值创造机理与发展策略研究,翟运开,重庆重庆大学出版社,远程医学医疗卫生服务研究,本书共分为章，主要内容包括远程医疗的概念辨析与发展演化、基于服务管理的远程医疗服务分析、远程医疗服务价值与价值网络分析、远程医疗服务的成本价值分析等。,R-058,2016.09
郑钦安卢铸之医学讲授,彭重善,北京中国中医药出版社,中医流派学术思想中国清代,null,R-092,2016.07
